,day,date,hospitalized,icu,ventilated
0,-28,2020-03-07,,,
1,-27,2020-03-08,0.23756770894680979,0.07127031268404299,0.047513541789361985
2,-26,2020-03-09,0.27703212766366225,0.08310963829909862,0.05540642553273242
3,-25,2020-03-10,0.3230502181412185,0.09691506544236556,0.06461004362824369
4,-24,2020-03-11,0.37670956133361333,0.11301286840008407,0.07534191226672265
5,-23,2020-03-12,0.43927794979425405,0.13178338493827624,0.08785558995885084
6,-22,2020-03-13,0.5122331506292932,0.15366994518878774,0.10244663012585864
7,-21,2020-03-14,0.5972975486663112,0.17918926459989348,0.11945950973326225
8,-20,2020-03-15,0.6964784573040848,0.20894353719122538,0.139295691460817
9,-19,2020-03-16,0.8121150069528165,0.24363450208584503,0.1624230013905631
10,-18,2020-03-17,0.9469326607591073,0.2840797982277319,0.18938653215182155
11,-17,2020-03-18,1.1041065662485696,0.33123196987457115,0.2208213132497141
12,-16,2020-03-19,1.2873351313473922,0.38620053940421695,0.25746702626947804
13,-15,2020-03-20,1.500925415477159,0.4502776246431486,0.300185083095432
14,-14,2020-03-21,1.7498921521353914,0.5249676456406167,0.3499784304270781
15,-13,2020-03-22,2.0400724689147545,0.6120217406744266,0.4080144937829515
16,-12,2020-03-23,2.378258643431707,0.713477593029511,0.47565172868634065
17,-11,2020-03-24,2.7723515264860126,0.8317054579458052,0.5544703052972029
18,-10,2020-03-25,3.2315375716591284,0.969461271497738,0.6463075143318253
19,-9,2020-03-26,3.766492724355441,1.1299478173066317,0.7532985448710878
20,-8,2020-03-27,4.389616728448047,1.316885018534414,0.8779233456896103
21,-7,2020-03-28,5.115301683088308,1.5345905049264914,1.023060336617661
22,-6,2020-03-29,5.960238893316479,1.7880716679949469,1.192047778663297
23,-5,2020-03-30,6.943768159095015,2.0831304477285,1.388753631819002
24,-4,2020-03-31,8.088273572350353,2.4264820717051077,1.6176547144700706
25,-3,2020-04-01,9.419629549164043,2.8258888647492135,1.8839259098328078
26,-2,2020-04-02,10.967700089513414,3.2903100268540193,2.1935400179026825
27,-1,2020-04-03,12.766892961695078,3.8300678885085233,2.5533785923390155
28,0,2020-04-04,14.856768429262985,4.457030528778894,2.9713536858525984
29,1,2020-04-05,12.097889287762001,3.629366786328603,2.419577857552401
30,2,2020-04-06,13.21821927362656,3.9654657820879677,2.643643854725312
31,3,2020-04-07,14.439107951079507,4.331732385323853,2.8878215902159035
32,4,2020-04-08,15.768957062523782,4.730687118757139,3.153791412504752
33,5,2020-04-09,17.21674755906912,5.1650242677207245,3.443349511813821
34,6,2020-04-10,18.79205459272211,5.6376163778166415,3.7584109185444277
35,7,2020-04-11,20.505057062654515,6.151517118796356,4.101011412530902
