,day,date,hospitalized,icu,ventilated
0,-28,2020-03-07,,,
1,-27,2020-03-08,0.23756770894680979,0.07127031268404299,0.047513541789361985
2,-26,2020-03-09,0.514599836610472,0.1543799509831416,0.10291996732209441
3,-25,2020-03-10,0.8376500547516905,0.25129501642550717,0.1675300109503381
4,-24,2020-03-11,1.2143596160853039,0.36430788482559123,0.24287192321706075
5,-23,2020-03-12,1.653637565879558,0.49609126976386747,0.3307275131759116
6,-22,2020-03-13,2.1658707165088513,0.6497612149526553,0.43317414330177023
7,-21,2020-03-14,2.7631682651751626,0.8289504795525487,0.5526336530350324
8,-20,2020-03-15,3.2220790135324373,1.037894016743774,0.6919293444958494
9,-19,2020-03-16,3.7571618928215917,1.281528518829619,0.8543523458864125
10,-18,2020-03-17,4.381044335439481,1.4943380043733079,1.043738878038234
11,-17,2020-03-18,5.108441340354437,1.7424603359487805,1.217046649498586
12,-16,2020-03-19,5.956498521907575,2.031745809910632,1.4191072502353317
13,-15,2020-03-20,6.9451907867554405,2.369010566153696,1.65468228970252
14,-14,2020-03-21,8.097785390224521,2.7621948268560366,1.9293188078628756
15,-13,2020-03-22,9.44137940183519,3.2205466223416757,2.249477711686976
16,-12,2020-03-23,11.00752303831408,3.7548349507712926,2.622682810247458
17,-11,2020-03-24,12.832941904040986,4.377596871525872,3.057693605811399
18,-10,2020-03-25,14.960372909451545,5.103423640937765,3.564705428682407
19,-9,2020-03-26,17.439530502459593,5.949291660016665,4.155580972162932
20,-8,2020-03-27,20.32822181543048,6.934944708676508,4.844117785700721
21,-7,2020-03-28,23.6936313463834,8.083334674198783,5.646356809068667
22,-6,2020-03-29,27.613797770785123,9.42112871755058,6.580937561462488
23,-5,2020-03-30,32.179307286448434,10.979291519638466,7.669506110186058
24,-4,2020-03-31,37.495229332312775,12.793751850669146,8.93718239422905
25,-3,2020-04-01,43.683321309817686,14.906163122388849,10.413093810278905
26,-2,2020-04-02,50.884528674975655,17.36476769129706,12.130982099495249
27,-1,2020-04-03,59.261804908222686,20.22537430830785,14.12989038653706
28,0,2020-04-04,69.00327165439737,23.55245701978011,16.454936558057835
29,1,2020-04-05,75.1409220488429,25.864938787574303,18.121215870739146
30,2,2020-04-06,81.41537316337443,28.29581406473578,19.88693637977485
31,3,2020-04-07,87.76620754210359,30.839474782064684,21.75169763337309
32,4,2020-04-08,94.11553505546333,33.48703145309332,23.713441267214545
33,5,2020-04-09,100.36458252501903,36.22557364910894,25.76803714720937
34,6,2020-04-10,106.38974415604606,39.03730116217637,27.908793351283727
35,7,2020-04-11,112.0380327894376,41.89850825411871,30.125878853981817
36,8,2020-04-12,122.30668365405647,44.77840241132445,32.405646866555315
